iter	MultiClass
0	2.232126389
1	2.161728894
2	2.083229474
3	2.037691341
4	1.987876907
5	1.927742214
6	1.867882826
7	1.813519847
8	1.766970192
9	1.712482327
10	1.669870327
11	1.624470577
12	1.578570627
13	1.538013962
14	1.504812332
15	1.465471695
16	1.437789539
17	1.400339318
18	1.358003355
19	1.324273363
20	1.293318199
21	1.266074579
22	1.23378673
23	1.211534987
24	1.180779727
25	1.151778182
26	1.124946921
27	1.102904857
28	1.079809072
29	1.055015638
30	1.032885596
31	1.011712913
32	0.9919161472
33	0.9725243621
34	0.9549689593
35	0.9348885379
36	0.9176207072
37	0.9016817903
38	0.8830005273
39	0.8651098047
40	0.8479928188
41	0.8332427639
42	0.819136666
43	0.8072856518
44	0.7938064563
45	0.783568214
46	0.7718900644
47	0.7601118263
48	0.750486351
49	0.7332963448
50	0.7195708116
51	0.706524452
52	0.6948089089
53	0.6823814147
54	0.670770733
55	0.6603432711
56	0.6484771265
57	0.6389834948
58	0.627889629
59	0.6144437259
60	0.6053670178
61	0.5964277243
62	0.5854342949
63	0.5775629637
64	0.5686825588
65	0.5599403259
66	0.5499472696
67	0.5406761714
68	0.5315730554
69	0.5218101207
70	0.514234062
71	0.5066337169
72	0.4982857529
73	0.4885997087
74	0.4804532551
75	0.4721279228
76	0.4657164099
77	0.459363517
78	0.4517773686
79	0.4442438896
80	0.4372320067
81	0.4299655747
82	0.421437748
83	0.4163750346
84	0.4112816608
85	0.4044838231
86	0.3984949011
87	0.3936842431
88	0.3882814411
89	0.3834011093
90	0.3774378387
91	0.3728938007
92	0.3665707648
93	0.3611872966
94	0.3572661084
95	0.3516435394
96	0.3458602064
97	0.3404642221
98	0.3364012852
99	0.330129587
100	0.3238922617
101	0.3189099306
102	0.3136445192
103	0.3087736409
104	0.3048373484
105	0.301248702
106	0.2992934427
107	0.2959572177
108	0.2911583201
109	0.2875712244
110	0.2834533467
111	0.2800651266
112	0.2769308944
113	0.2735308706
114	0.2697638309
115	0.2669015854
116	0.2641857884
117	0.2599372612
118	0.2569632586
119	0.2542136993
120	0.2512939763
121	0.2480796226
122	0.2455260691
123	0.2425917445
124	0.2400060962
125	0.2377152618
126	0.2343336827
127	0.2317574066
128	0.2295164957
129	0.2277142387
130	0.2252375909
131	0.2231736433
132	0.2205306316
133	0.2191510621
134	0.2166371139
135	0.2147567302
136	0.2126128304
137	0.2100922939
138	0.208144029
139	0.2058563847
140	0.2038989995
141	0.2021522358
142	0.1997894051
143	0.1981357177
144	0.1962271042
145	0.1952714481
146	0.1933217248
147	0.1914860611
148	0.1897660316
149	0.1879017668
150	0.1861594571
151	0.1844350471
152	0.1826999336
153	0.1822047011
154	0.1802269503
155	0.1788602746
156	0.1785380916
157	0.1769081727
158	0.1752508395
159	0.1734391296
160	0.1716458658
161	0.1707579619
162	0.1695381462
163	0.1680425818
164	0.1668512351
165	0.1658479781
166	0.1643523863
167	0.1633404795
168	0.1619334873
169	0.1611782619
170	0.159824877
171	0.1584925391
172	0.1567943992
173	0.1556520819
174	0.1545461876
175	0.1537108597
176	0.1523477597
177	0.1510681572
178	0.1503684925
179	0.1492516561
180	0.1487384746
181	0.1480269756
182	0.1468144661
183	0.1457433503
184	0.1444878589
185	0.143397311
186	0.1427313802
187	0.1415559641
188	0.1404047734
189	0.1389945224
190	0.1376773231
191	0.136977068
192	0.1365284059
193	0.1353583333
194	0.1345779437
195	0.1334050771
196	0.1325939781
197	0.1318894473
198	0.1311741546
199	0.1302348598
200	0.1289958637
201	0.1286003118
202	0.1275294247
203	0.1266687148
204	0.1261372216
205	0.1253318664
206	0.1245816415
207	0.1235538894
208	0.1227283527
209	0.1218214034
210	0.1210431198
211	0.1204189546
212	0.1195158987
213	0.1185647138
214	0.1176833026
215	0.1168296177
216	0.1158748844
217	0.1150599133
218	0.11453607
219	0.1137663622
220	0.1134272095
221	0.1126464116
222	0.1119629928
223	0.111283416
224	0.1109296929
225	0.1104738776
226	0.109637139
227	0.1089505096
228	0.108229204
229	0.1076150771
230	0.107499145
231	0.1067260401
232	0.1057982798
233	0.105097015
234	0.1048805614
235	0.1040984541
236	0.1033334758
237	0.1027973395
238	0.1020629624
239	0.1016954431
240	0.1014896262
241	0.1007734324
242	0.1001668043
243	0.09965868111
244	0.09910536958
245	0.09853580904
246	0.09807907266
247	0.09741510287
248	0.09679903358
249	0.09614866895
250	0.0954785882
251	0.09493842959
252	0.09440219468
253	0.09389867671
254	0.09336376524
255	0.09278787644
256	0.09235731972
257	0.09220008296
258	0.09175578966
259	0.09143419285
260	0.09104779902
261	0.09041873952
262	0.08995125264
263	0.08946666026
264	0.08907111513
265	0.08859890319
266	0.08813610186
267	0.08758136671
268	0.08687712905
269	0.08638593619
270	0.08581516556
271	0.08516742699
272	0.08475717883
273	0.08425232945
274	0.08370171555
275	0.08322634224
276	0.0827502526
277	0.08215085298
278	0.0817446122
279	0.08137559873
280	0.08090965993
281	0.08053791312
282	0.07996265947
283	0.07956576397
284	0.07943953419
285	0.0788993651
286	0.07862884546
287	0.0782850297
288	0.07810077175
289	0.07802566527
290	0.07761028213
291	0.07721318546
292	0.07686330642
293	0.07654450908
294	0.07617113807
295	0.0758707759
296	0.07562927069
297	0.07516752599
298	0.07478317887
299	0.07438844703
300	0.07402106417
301	0.07390831107
302	0.07354125548
303	0.07306118139
304	0.07289089397
305	0.07255661486
306	0.07214005304
307	0.07181282943
308	0.07144257312
309	0.07104968969
310	0.070856029
311	0.07066687882
312	0.07058854037
313	0.07046697142
314	0.0700722472
315	0.06975972193
316	0.06941568351
317	0.06930334135
318	0.06903756522
319	0.0687250985
320	0.06842011033
321	0.06808222602
322	0.06782870505
323	0.06756653116
324	0.0671326055
325	0.06702887808
326	0.06676960574
327	0.06628891467
328	0.06614935493
329	0.06601908406
330	0.06585915441
331	0.06558976082
332	0.06523844545
333	0.06490869118
334	0.06467427359
335	0.06441994479
336	0.06409604154
337	0.06393929942
338	0.06362809215
339	0.06335694987
340	0.06321027462
341	0.0629687222
342	0.06284068768
343	0.0626432282
344	0.06233177145
345	0.06204261502
346	0.06183731224
347	0.06147739692
348	0.06109529624
349	0.060897025
350	0.06058825096
351	0.0603659424
352	0.06031538137
353	0.06008334422
354	0.05993867504
355	0.05966008587
356	0.05944039902
357	0.05919220704
358	0.05896618522
359	0.05874199951
360	0.0585338173
361	0.05838026399
362	0.05819719108
363	0.05792923655
364	0.05776313174
365	0.05766313227
366	0.05737604436
367	0.05712686848
368	0.05683957683
369	0.05659984473
370	0.05643816344
371	0.0561126295
372	0.05588622061
373	0.0557816194
374	0.05554948633
375	0.05528126928
376	0.05506273856
377	0.05489057802
378	0.05469786033
379	0.05440917234
380	0.05434078358
381	0.05419150245
382	0.05398974209
383	0.05380803493
384	0.05365216226
385	0.05361333084
386	0.053351527
387	0.05319352297
388	0.05302835896
389	0.0527512632
390	0.05258274013
391	0.05237451754
392	0.05228717047
393	0.0521049002
394	0.05194868602
395	0.05182651292
396	0.05165464783
397	0.05158789118
398	0.05145759299
399	0.05128497554
400	0.05123113398
401	0.05109588648
402	0.0510157116
403	0.050839232
404	0.05072158664
405	0.05050396115
406	0.05031470883
407	0.05027711783
408	0.05013091917
409	0.04995778105
410	0.04976692488
411	0.04972049477
412	0.04960342134
413	0.04949607137
414	0.0492990122
415	0.04913747404
416	0.04892388776
417	0.04879517506
418	0.04862701909
419	0.04843039824
420	0.0482748427
421	0.04817294921
422	0.04798842254
423	0.04793680409
424	0.0477354681
425	0.04755512266
426	0.04738097229
427	0.047262686
428	0.04707335909
429	0.04693233822
430	0.04685040265
431	0.04672327763
432	0.04651844382
433	0.04636023093
434	0.04622712117
435	0.04611074558
436	0.04597269131
437	0.04582919077
438	0.04570015542
439	0.04562357689
440	0.04559467734
441	0.04542570253
442	0.04530451516
443	0.04516811882
444	0.04511565563
445	0.0450001286
446	0.04489314749
447	0.04479108566
448	0.04465581406
449	0.04462351247
450	0.04446816667
451	0.04425884692
452	0.04411269785
453	0.04398106468
454	0.04383167794
455	0.04366050118
456	0.04352951645
457	0.0434241671
458	0.04330355005
459	0.04315265329
460	0.04304382894
461	0.04291069989
462	0.04279370513
463	0.04261135866
464	0.04250859518
465	0.042366213
466	0.0422316056
467	0.04213440993
468	0.04203975269
469	0.04197620334
470	0.04177501284
471	0.04173023428
472	0.04159003257
473	0.04155415715
474	0.04144585891
475	0.0413097437
476	0.04118887964
477	0.04113122702
478	0.04102199935
479	0.04087965079
480	0.0408010551
481	0.04072790199
482	0.04064404969
483	0.04057433337
484	0.04047982296
485	0.04036292327
486	0.0402814256
487	0.04017850767
488	0.04014170111
489	0.04005005107
490	0.03992590614
491	0.03980814252
492	0.03973116564
493	0.03964323445
494	0.0395493666
495	0.03943735208
496	0.03932336475
497	0.03922576555
498	0.03912928189
