iter	Passed	Remaining
0	8	8181
1	15	7528
2	23	7688
3	33	8243
4	42	8428
5	50	8376
6	57	8222
7	64	7950
8	70	7739
9	76	7553
10	82	7413
11	88	7306
12	94	7202
13	100	7079
14	106	7014
15	112	6947
16	119	6885
17	125	6839
18	131	6786
19	137	6726
20	143	6684
21	150	6676
22	156	6656
23	162	6626
24	169	6593
25	174	6553
26	181	6529
27	187	6502
28	193	6478
29	199	6448
30	205	6437
31	211	6410
32	217	6387
33	224	6369
34	229	6339
35	235	6319
36	241	6291
37	247	6274
38	255	6290
39	262	6292
40	268	6277
41	274	6252
42	280	6232
43	286	6217
44	292	6199
45	298	6184
46	304	6166
47	310	6155
48	316	6138
49	322	6123
50	328	6119
51	335	6109
52	340	6092
53	347	6080
54	353	6067
55	359	6053
56	364	6037
57	370	6021
58	376	6007
59	382	5991
60	388	5982
61	394	5966
62	400	5959
63	406	5946
64	412	5936
65	418	5924
66	424	5915
67	431	5907
68	437	5899
69	443	5888
70	449	5880
71	455	5870
72	461	5864
73	467	5856
74	474	5850
75	481	5848
76	487	5838
77	492	5824
78	498	5817
79	505	5815
80	511	5808
81	517	5795
82	524	5789
83	529	5778
84	535	5768
85	542	5760
86	548	5756
87	554	5747
88	560	5739
89	566	5729
90	572	5719
91	579	5715
92	584	5704
93	590	5694
94	596	5686
95	602	5674
96	608	5666
97	614	5659
98	621	5653
99	627	5645
100	633	5637
101	639	5633
102	645	5622
103	651	5617
104	658	5610
105	664	5605
106	671	5606
107	678	5603
108	684	5598
109	690	5589
110	697	5583
111	702	5573
112	709	5565
113	714	5556
114	720	5546
115	726	5537
116	732	5529
117	738	5522
118	744	5514
119	750	5505
120	756	5498
121	763	5491
122	769	5485
123	775	5477
124	781	5472
125	788	5466
126	793	5456
127	799	5447
128	806	5442
129	811	5433
130	817	5425
131	823	5416
132	829	5408
133	832	5379
134	838	5373
135	844	5364
136	850	5358
137	856	5352
138	862	5344
139	869	5339
140	876	5337
141	882	5333
142	888	5327
143	894	5319
144	901	5314
145	907	5309
146	914	5306
147	921	5302
148	927	5294
149	933	5287
150	939	5280
151	944	5270
152	950	5262
153	956	5255
154	962	5247
155	968	5240
156	974	5233
157	980	5225
158	986	5217
159	992	5208
160	998	5203
161	1004	5197
162	1010	5190
163	1016	5183
164	1022	5176
165	1029	5170
166	1035	5162
167	1040	5154
168	1047	5148
169	1053	5142
170	1059	5135
171	1065	5130
172	1072	5126
173	1078	5122
174	1085	5116
175	1091	5108
176	1097	5101
177	1103	5094
178	1109	5087
179	1115	5080
180	1121	5072
181	1127	5067
182	1133	5061
183	1140	5056
184	1146	5051
185	1152	5042
186	1158	5038
187	1165	5033
188	1171	5028
189	1178	5023
190	1184	5016
191	1190	5012
192	1197	5006
193	1203	5001
194	1210	4995
195	1215	4987
196	1222	4981
197	1228	4975
198	1234	4968
199	1239	4959
200	1246	4953
201	1251	4944
202	1258	4939
203	1264	4932
204	1271	4929
205	1278	4926
206	1284	4920
207	1290	4913
208	1296	4906
209	1303	4901
210	1309	4895
211	1315	4888
212	1321	4882
213	1327	4875
214	1333	4869
215	1339	4861
216	1345	4853
217	1351	4846
218	1357	4840
219	1363	4833
220	1369	4826
221	1375	4819
222	1381	4813
223	1387	4806
224	1393	4800
225	1399	4792
226	1405	4785
227	1411	4780
228	1417	4773
229	1424	4767
230	1430	4760
231	1435	4753
232	1441	4746
233	1447	4739
234	1453	4732
235	1460	4726
236	1465	4719
237	1472	4712
238	1479	4709
239	1486	4705
240	1492	4701
241	1498	4694
242	1505	4689
243	1511	4682
244	1517	4676
245	1523	4668
246	1529	4663
247	1535	4656
248	1542	4650
249	1548	4644
250	1554	4639
251	1560	4632
252	1566	4626
253	1572	4619
254	1578	4612
255	1584	4606
256	1590	4599
257	1597	4593
258	1603	4586
259	1609	4580
260	1615	4574
261	1621	4566
262	1627	4560
263	1633	4553
264	1639	4546
265	1645	4540
266	1651	4533
267	1656	4525
268	1662	4519
269	1668	4511
270	1674	4505
271	1681	4500
272	1688	4495
273	1694	4489
274	1700	4483
275	1706	4476
276	1712	4469
277	1718	4463
278	1724	4456
279	1730	4450
280	1736	4442
281	1742	4436
282	1748	4429
283	1754	4422
284	1760	4416
285	1766	4410
286	1772	4403
287	1778	4397
288	1784	4391
289	1790	4384
290	1796	4377
291	1802	4371
292	1809	4365
293	1815	4358
294	1821	4352
295	1827	4346
296	1833	4340
297	1840	4334
298	1846	4327
299	1852	4321
300	1857	4314
301	1863	4307
302	1870	4302
303	1877	4297
304	1884	4293
305	1890	4288
306	1897	4282
307	1902	4275
308	1909	4269
309	1914	4262
310	1920	4254
311	1926	4248
312	1932	4242
313	1939	4236
314	1945	4230
315	1951	4223
316	1957	4217
317	1963	4210
318	1969	4204
319	1975	4198
320	1981	4192
321	1988	4186
322	1994	4179
323	2000	4173
324	2006	4167
325	2012	4161
326	2018	4153
327	2024	4147
328	2030	4140
329	2036	4134
330	2042	4128
331	2048	4121
332	2054	4115
333	2060	4108
334	2066	4102
335	2072	4096
336	2079	4090
337	2084	4083
338	2091	4077
339	2097	4071
340	2103	4065
341	2109	4059
342	2115	4052
343	2121	4046
344	2127	4039
345	2133	4033
346	2140	4027
347	2145	4020
348	2151	4014
349	2157	4007
350	2163	4000
351	2169	3994
352	2175	3988
353	2181	3981
354	2187	3974
355	2193	3967
356	2199	3961
357	2205	3954
358	2211	3947
359	2216	3941
360	2222	3934
361	2228	3928
362	2234	3921
363	2241	3916
364	2247	3909
365	2253	3903
366	2259	3896
367	2265	3891
368	2271	3884
369	2277	3877
370	2283	3870
371	2289	3864
372	2295	3858
373	2301	3852
374	2308	3847
375	2315	3841
376	2320	3835
377	2327	3829
378	2333	3823
379	2339	3816
380	2345	3810
381	2351	3804
382	2357	3798
383	2363	3792
384	2369	3785
385	2376	3779
386	2382	3773
387	2388	3767
388	2394	3760
389	2400	3754
390	2406	3748
391	2412	3741
392	2418	3734
393	2424	3729
394	2430	3723
395	2436	3716
396	2443	3710
397	2449	3704
398	2455	3698
399	2461	3691
400	2467	3685
401	2473	3679
402	2479	3673
403	2485	3666
404	2491	3660
405	2497	3654
406	2504	3649
407	2510	3642
408	2516	3636
409	2523	3631
410	2529	3624
411	2535	3618
412	2541	3612
413	2547	3605
414	2553	3599
415	2559	3593
416	2565	3586
417	2571	3580
418	2577	3573
419	2583	3567
420	2588	3560
421	2595	3554
422	2601	3548
423	2607	3541
424	2613	3535
425	2619	3529
426	2625	3523
427	2631	3517
428	2638	3511
429	2644	3505
430	2650	3498
431	2656	3492
432	2662	3486
433	2668	3480
434	2674	3474
435	2680	3467
436	2687	3462
437	2693	3456
438	2700	3450
439	2706	3444
440	2712	3438
441	2719	3432
442	2725	3426
443	2731	3420
444	2737	3414
445	2743	3408
446	2749	3401
447	2755	3394
448	2761	3389
449	2767	3383
450	2773	3376
451	2779	3370
452	2785	3363
453	2791	3357
454	2797	3351
455	2804	3345
456	2810	3338
457	2816	3333
458	2822	3326
459	2828	3320
460	2834	3314
461	2840	3307
462	2846	3301
463	2853	3295
464	2859	3289
465	2866	3284
466	2872	3278
467	2879	3273
468	2881	3262
469	2887	3256
470	2894	3250
471	2901	3246
472	2908	3240
473	2914	3234
474	2920	3228
475	2926	3222
476	2933	3216
477	2939	3209
478	2945	3203
479	2951	3197
480	2957	3190
481	2963	3184
482	2964	3173
483	2971	3167
484	2973	3157
485	2979	3150
486	2985	3144
487	2991	3138
488	2996	3131
489	3002	3125
490	3008	3119
491	3015	3113
492	3021	3107
493	3027	3101
494	3033	3095
495	3039	3088
496	3046	3083
497	3051	3076
498	3057	3070
499	3063	3063
500	3069	3056
501	3075	3050
502	3081	3044
503	3087	3038
504	3093	3032
505	3100	3027
506	3107	3021
507	3113	3015
508	3119	3009
509	3126	3003
510	3132	2997
511	3139	2992
512	3145	2986
513	3152	2980
514	3159	2975
515	3165	2968
516	3170	2962
517	3176	2956
518	3182	2949
519	3188	2943
520	3194	2936
521	3200	2930
522	3206	2924
523	3212	2917
524	3218	2911
525	3224	2905
526	3230	2899
527	3236	2893
528	3242	2887
529	3248	2881
530	3255	2875
531	3261	2868
532	3267	2862
533	3273	2856
534	3279	2850
535	3285	2844
536	3291	2837
537	3297	2832
538	3304	2826
539	3310	2820
540	3316	2814
541	3323	2808
542	3329	2802
543	3335	2796
544	3341	2790
545	3348	2783
546	3354	2777
547	3359	2771
548	3365	2764
549	3371	2758
550	3377	2752
551	3384	2746
552	3390	2740
553	3396	2734
554	3402	2728
555	3408	2721
556	3414	2715
557	3420	2709
558	3427	2703
559	3433	2697
560	3439	2691
561	3445	2684
562	3450	2678
563	3456	2672
564	3463	2666
565	3469	2660
566	3475	2654
567	3481	2647
568	3487	2641
569	3494	2635
570	3500	2629
571	3506	2623
572	3513	2618
573	3519	2612
574	3526	2606
575	3532	2600
576	3538	2593
577	3544	2587
578	3550	2581
579	3557	2575
580	3563	2569
581	3569	2563
582	3574	2556
583	3580	2550
584	3587	2544
585	3593	2538
586	3599	2532
587	3605	2526
588	3611	2519
589	3617	2513
590	3623	2507
591	3629	2501
592	3635	2495
593	3641	2488
594	3647	2482
595	3653	2476
596	3659	2470
597	3665	2464
598	3671	2457
599	3677	2451
600	3683	2445
601	3689	2439
602	3695	2433
603	3701	2427
604	3707	2420
605	3709	2411
606	3715	2405
607	3721	2399
608	3728	2393
609	3734	2387
610	3740	2381
611	3746	2375
612	3752	2369
613	3758	2362
614	3764	2356
615	3770	2350
616	3776	2344
617	3782	2338
618	3788	2331
619	3794	2325
620	3800	2319
621	3806	2313
622	3812	2307
623	3819	2301
624	3825	2295
625	3831	2289
626	3837	2283
627	3843	2276
628	3849	2270
629	3857	2265
630	3864	2260
631	3871	2254
632	3878	2248
633	3884	2242
634	3890	2236
635	3896	2229
636	3901	2223
637	3907	2217
638	3913	2211
639	3920	2205
640	3927	2199
641	3933	2193
642	3940	2187
643	3946	2181
644	3952	2175
645	3958	2169
646	3964	2162
647	3970	2156
648	3976	2150
649	3981	2144
650	3987	2137
651	3993	2131
652	3999	2125
653	4005	2119
654	4011	2112
655	4017	2106
656	4023	2100
657	4029	2094
658	4035	2087
659	4040	2081
660	4046	2075
661	4053	2069
662	4058	2063
663	4064	2056
664	4070	2050
665	4076	2044
666	4082	2038
667	4088	2032
668	4094	2025
669	4100	2019
670	4106	2013
671	4112	2007
672	4118	2001
673	4124	1995
674	4131	1989
675	4137	1983
676	4143	1976
677	4149	1970
678	4155	1964
679	4162	1958
680	4168	1952
681	4174	1946
682	4180	1940
683	4186	1934
684	4192	1928
685	4198	1921
686	4204	1915
687	4210	1909
688	4216	1903
689	4223	1897
690	4229	1891
691	4235	1885
692	4241	1878
693	4247	1872
694	4253	1866
695	4259	1860
696	4265	1854
697	4271	1848
698	4277	1841
699	4284	1836
700	4290	1829
701	4296	1823
702	4302	1817
703	4307	1811
704	4314	1805
705	4320	1799
706	4326	1793
707	4332	1786
708	4339	1781
709	4345	1774
710	4351	1768
711	4357	1762
712	4364	1756
713	4370	1750
714	4376	1744
715	4382	1738
716	4388	1732
717	4394	1725
718	4400	1719
719	4406	1713
720	4412	1707
721	4418	1701
722	4424	1695
723	4431	1689
724	4437	1683
725	4444	1677
726	4449	1670
727	4456	1664
